runNumber() eventNumber() chargedFE.eta() chargedFE.phi() chargedFE.e() chargedFE.pt() charge() signalType()
410000 21642 2.32736 0.813393 3560.1 687.519 1 8208 
410000 21642 2.24019 1.85219 3151.15 662.638 1 8208 
410000 21642 -0.592572 -1.29054 2572.59 2175.54 -1 8208 
410000 21642 -0.533868 -1.29731 1794.77 1561.48 -1 8208 
410000 21642 -0.461822 -1.37544 1449.58 1301.57 -1 8208 
410000 21642 1.65222 -2.40498 3767.65 1391.85 -1 8208 
410000 21642 1.598 -2.43217 2947.57 1144.41 -1 8208 
410000 21642 -1.33875 -1.4649 2825 1384.32 -1 8208 
410000 21642 -1.31363 -1.59055 2008.62 1004.77 -1 8208 
410000 21649 1.77179 1.2421 9088.02 3003.25 -1 8208 
410000 21649 -0.13594 -2.42971 2609.95 2582.31 1 8208 
410000 21649 1.37359 -1.23325 5175.13 2461.87 1 8208 
410000 21649 1.31394 2.8884 4611.89 2310.93 -1 8208 
410000 21649 -0.136552 0.511727 2231.79 2206.81 1 8208 
410000 21649 0.0743309 -1.81524 2207.36 2196.87 -1 8208 
410000 21649 1.30847 0.373588 4101.36 2064.59 1 8208 
410000 21649 2.09144 1.76117 7991.98 1944.2 1 8208 
410000 21649 0.412075 -1.77172 2097.95 1927.34 -1 8208 
410000 21649 -1.81632 0.382482 5981.95 1894.96 -1 8208 
410000 21649 -1.68639 -2.66582 4997.77 1788.97 1 8208 
410000 21649 -0.44362 0.787297 1903.59 1725.84 1 8208 
410000 21649 0.684735 -3.07495 2119.71 1700.61 1 8208 
410000 21649 0.869883 -2.57898 2344.54 1668.35 1 8208 
410000 21649 -1.30795 1.36156 3031.27 1525.86 1 8208 
410000 21649 0.937742 -0.46792 2178.95 1476.36 -1 8208 
410000 21649 1.10577 -2.99767 2418.04 1440.13 1 8208 
410000 21649 -1.49303 -2.20866 3351.2 1432.35 -1 8208 
410000 21649 0.0888714 1.77775 1422.86 1410.43 -1 8208 
410000 21649 -0.33013 2.52812 1492.74 1408.74 1 8208 
410000 21649 1.69816 -0.921118 3946.05 1396.72 1 8208 
410000 21649 0.96502 -1.20145 2077.11 1378.94 -1 8208 
410000 21649 0.845671 -2.8592 1900.11 1373.77 1 8208 
410000 21649 0.66572 0.289409 1693.25 1372.05 1 8208 
410000 21649 2.36033 -0.0340636 7203.15 1347.54 1 8208 
410000 21649 -0.637725 -2.20048 1623.15 1336.11 -1 8208 
410000 21649 2.07559 0.727204 5273.9 1302.59 -1 8208 
410000 21649 -2.07772 -0.127643 5261.74 1296.9 -1 8208 
410000 21649 -0.97602 2.76129 1966.4 1294.39 1 8208 
410000 21649 1.85312 1.13433 4189.59 1281.2 1 8208 
410000 21649 1.57554 -1.89851 3215.16 1274.59 -1 8208 
410000 21649 -2.39746 1.43015 6994.41 1261.58 -1 8208 
410000 21649 -0.243776 -2.86107 1282.5 1237.92 -1 8208 
410000 21649 2.20115 2.8671 5493.08 1200.81 1 8208 
410000 21649 -1.69149 -1.05443 3370.08 1200.04 -1 8208 
410000 21649 -0.718009 -2.22109 1473.43 1155.85 1 8208 
410000 21649 1.6668 2.03493 3109.77 1132.97 1 8208 
410000 21649 1.92909 0.737954 3974.23 1130.18 1 8208 
410000 21649 -1.85208 -0.235575 3673.4 1124.27 -1 8208 
410000 21649 -1.42356 0.227933 2435.79 1107.19 -1 8208 
410000 21649 1.01963 2.98075 1726.77 1098.74 1 8208 
410000 21649 -2.17105 1.98825 4858.02 1093.51 -1 8208 
410000 21649 0.972632 -3.01161 1652.12 1089.13 1 8208 
410000 21649 -0.686651 -1.16959 1352.02 1080.03 1 8208 
410000 21649 0.563065 -1.69057 1247.43 1066.09 -1 8208 
410000 21649 -2.46847 1.04714 6262.16 1053.17 -1 8208 
410000 21649 -1.07268 -1.35885 1711.13 1044.58 -1 8208 
410000 21649 1.57392 -2.40032 2528.26 1003.19 -1 8208 
410000 21649 -0.465612 -1.36894 1120.17 1000.97 1 8208 
410000 21649 1.30322 -1.86712 1963.79 991.115 1 8208 
410000 21649 2.3494 0.947036 5193.76 981.942 1 8208 
410000 21649 2.06009 -0.511397 3914.28 981.117 1 8208 
410000 21649 0.725174 -2.54782 1243 968.992 -1 8208 
410000 21649 -2.15191 -2.74724 4205.23 964.243 -1 8208 
410000 21649 1.27144 -1.33847 1852.57 960.536 1 8208 
410000 21649 -0.84042 1.9611 1298.92 939.589 -1 8208 
410000 21649 1.66412 -1.62859 2564.09 936.056 -1 8208 
410000 21649 -2.37982 -1.6008 4727.09 867.335 1 8208 
410000 21649 -2.20012 2.5616 3889.16 850.758 1 8208 
410000 21649 -0.661165 -1.12372 1033.54 834.858 1 8208 
410000 21649 -1.38988 2.82321 1773.68 829.453 -1 8208 
410000 21649 -0.409413 3.03852 907.94 826.875 1 8208 
410000 21649 1.57709 -0.523389 2043.33 807.759 1 8208 
410000 21649 2.27343 2.64797 3862.62 786.52 1 8208 
410000 21649 -2.05739 -1.73207 3073.17 772.004 -1 8208 
410000 21649 2.23668 -1.51893 3465.24 731.32 1 8208 
410000 21649 -0.725179 -1.69241 883.603 684.5 1 8208 
410000 21649 2.37139 0.837822 3622.23 669.933 1 8208 
410000 21649 2.27318 -1.83725 3240.72 659.865 -1 8208 
410000 21649 -0.593905 2.77509 58675.9 49657.6 1 8208 
410000 21649 0.408055 -1.00519 30760.5 28365.7 -1 8208 
410000 21649 0.267635 -1.78776 15683.7 15137.7 1 8208 
410000 21649 0.281727 -1.68812 2244.22 2153.84 1 8208 
410000 21649 0.172867 1.23667 11377.2 11208.5 1 8208 
