runNumber() eventNumber() neutralFE.eta() neutralFE.phi() neutralFE.e() neutralFE.pt() charge() signalType()
410000 21642 1.64314 0.185613 895.605 333.883 0 4112 
410000 21642 2.25205 2.18688 1582.48 329.259 0 4112 
410000 21642 1.62734 -0.43029 866.658 327.859 0 4112 
410000 21642 -1.06738 -2.97556 530.683 326.407 0 4112 
410000 21642 -1.88259 2.32678 1092.37 324.981 0 4112 
410000 21642 -1.20619 1.77262 573.41 315.055 0 4112 
410000 21642 -1.2588 -0.342325 598.655 314.652 0 4112 
410000 21642 0.607911 -0.139224 374.448 314.52 0 4112 
410000 21642 1.52522 3.12183 754.857 313.626 0 4112 
410000 21642 1.8106 0.0422115 984.313 313.59 0 4112 
410000 21642 -1.43379 -2.29061 690.917 311.717 0 4112 
410000 21642 -1.84425 -1.42097 989.838 305.434 0 4112 
410000 21642 1.28554 2.16312 585.381 300.726 0 4112 
410000 21642 -1.33208 -2.30645 604.114 298.119 0 4112 
410000 21642 2.42058 -0.513969 1685.7 297.27 0 4112 
410000 21642 -0.386638 -0.345384 317.399 295.068 0 4112 
410000 21642 -2.14679 2.5965 1263.7 291.369 0 4112 
410000 21642 1.1517 0.730214 506.335 291.025 0 4112 
410000 21642 -1.16074 2.21099 498.791 284.573 0 4112 
410000 21642 -2.27925 -1.15211 1361.92 275.923 0 4112 
410000 21642 -0.376828 0.0401608 286.873 267.644 0 4112 
410000 21642 0.136095 2.50293 269.386 266.911 0 4112 
410000 21642 -1.82042 -2.88838 845.585 266.898 0 4112 
410000 21642 2.34557 -0.815817 1398.79 265.549 0 4112 
410000 21642 -0.711573 -2.00355 333.719 264.012 0 4112 
410000 21642 -2.39701 2.80473 1452.26 262.111 0 4112 
410000 21642 -2.02253 -0.536443 990.984 257.743 0 4112 
410000 21642 -0.759949 -2.39947 332.753 255.389 0 4112 
410000 21642 -0.634375 -2.59112 302.125 250.092 0 4112 
410000 21642 -1.31061 -1.62359 484.169 243.418 0 4112 
410000 21642 -0.1822 2.50515 240.928 236.984 0 4112 
410000 21642 -2.18581 1.35304 1058.52 234.96 0 4112 
410000 21642 0.0660447 2.39149 235.155 234.643 0 4112 
410000 21642 -0.208797 2.88803 238.055 232.959 0 4112 
410000 21642 1.31043 -0.0541114 458.957 230.778 0 4112 
410000 21642 0.331499 -0.355774 241.909 229.199 0 4112 
410000 21642 1.52685 2.66674 541.856 224.797 0 4112 
410000 21642 -1.89776 1.70952 765.144 224.354 0 4112 
410000 21642 0.984362 1.13181 339.702 222.772 0 4112 
410000 21642 -2.34867 0.64375 1140.42 215.844 0 4112 
410000 21642 2.38931 0.133109 1185.16 215.53 0 4112 
410000 21642 1.37222 -1.62457 448.998 213.929 0 4112 
410000 21642 0.667478 2.99153 260.71 211.76 0 4112 
410000 21642 2.05931 -0.356384 834.112 209.363 0 4112 
410000 21642 0.893639 -0.258332 292.408 204.971 0 4112 
410000 21642 0.940389 2.78993 283.502 192.11 0 4112 
410000 21642 -0.609217 1.91615 218.976 183.8 0 4112 
410000 21642 1.23798 2.31206 337.904 180.764 0 4112 
410000 21642 2.35205 1.51561 953.261 179.822 0 4112 
410000 21642 1.31477 -1.91662 355.344 178.009 0 4112 
410000 21642 1.97308 -1.32041 631.806 172.346 0 4112 
410000 21642 -2.29135 1.85829 858.947 171.971 0 4112 
410000 21642 -0.93536 -0.362915 252.075 171.446 0 4112 
410000 21642 0.866444 -2.1202 237.983 170.055 0 4112 
410000 21642 -2.30151 -1.77907 856.341 169.752 0 4112 
410000 21642 1.39521 -2.00387 357.05 166.705 0 4112 
410000 21642 0.385244 -0.698013 174.242 162.066 0 4112 
410000 21642 1.70054 -1.52913 443.199 156.621 0 4112 
410000 21642 1.7968 -2.03238 452.718 146.129 0 4112 
410000 21642 -2.48714 1.12241 830.869 137.221 0 4112 
410000 21642 1.62188 2.63236 352.208 133.917 0 4112 
410000 21642 -0.575591 -2.96644 152.834 130.597 0 4112 
410000 21642 1.58749 2.95614 331.876 130.253 0 4112 
410000 21642 -1.61944 -1.33576 339.255 129.283 0 4112 
410000 21642 1.29559 1.31183 238.913 121.681 0 4112 
410000 21642 -1.49346 -1.35782 261.804 111.952 0 4112 
410000 21642 0.107876 -1.80621 95.4919 94.939 0 4112 
410000 21642 -0.208811 2.80168 86.7785 84.9204 0 4112 
410000 21642 -0.575103 -2.6845 97.8123 83.6017 0 4112 
410000 21642 -1.19308 1.72133 148.523 82.5014 0 4112 
410000 21642 -0.931213 -1.51448 108.519 74.0322 0 4112 
410000 21642 -1.30936 0.450275 131.693 66.2807 0 4112 
410000 21642 0.457388 0.553821 70.357 63.5887 0 4112 
410000 21642 -0.186734 0.641635 61.9673 60.9024 0 4112 
410000 21642 1.97098 -0.073771 217.947 59.5728 0 4112 
410000 21642 -0.0170645 2.11487 57.1671 57.1588 0 4112 
410000 21642 -1.10872 -0.433626 79.5436 47.3409 0 4112 
410000 21642 -1.1403 -2.29745 76.4109 44.3291 0 4112 
410000 21642 1.23164 -0.534148 81.8806 44.0377 0 4112 
410000 21642 -3.10054 -1.07675 343.66 30.884 0 4112 
410000 21642 -1.17882 -2.403 35.4959 19.9517 0 4112 
410000 21642 0.783427 -0.933337 0 -3.48565 0 4112 
410000 21642 -1.57324 2.80616 0 -20.5372 0 4112 
410000 21642 1.25843 2.99332 0 -35.5698 0 4112 
410000 21642 -3.17917 -1.14315 0 -37.2085 0 4112 
410000 21642 -0.434335 0.820037 0 -68.0802 0 4112 
410000 21642 1.41577 0.75546 0 -156.997 0 4112 
410000 21642 -0.81014 -0.537803 0 -193.053 0 4112 
410000 21642 1.73909 2.88229 0 -248.93 0 4112 
410000 21642 -2.28074 -2.59941 0 -282.241 0 4112 
410000 21642 1.26557 2.00568 0 -364.155 0 4112 
410000 21642 -2.03511 -0.727652 0 -458.905 0 4112 
410000 21642 -0.937393 -2.87926 0 -465.325 0 4112 
410000 21642 0.0579541 -1.42053 0 -647.318 0 4112 
410000 21642 1.86568 2.21203 0 -695.099 0 4112 
410000 21642 0.84675 -0.935675 0 -747.794 0 4112 
410000 21642 0.314242 0.321222 0 -1930.91 0 4112 
410000 21649 -0.582984 2.78226 63044.9 53664.3 0 4112 
410000 21649 0.417223 -0.947917 28049.2 25773.2 0 4112 
410000 21649 0.420061 -1.04202 20393.9 18718.1 0 4112 
410000 21649 0.310857 -1.81661 13480.1 12854 0 4112 
410000 21649 -0.271285 2.03948 9371.72 9037.13 0 4112 
410000 21649 -1.7118 0.827774 24937.4 8720.24 0 4112 
410000 21649 4.5464 0.810939 409089 8676.09 0 4112 
410000 21649 0.846997 -2.48664 10737.3 7776.92 0 4112 
410000 21649 0.29145 -1.8381 6694.09 6419.5 0 4112 
410000 21649 0.845297 -2.60883 8002.55 5802.95 0 4112 
410000 21649 0.721297 -2.35242 7377.9 5802.01 0 4112 
410000 21649 0.342205 -1.71552 5672.69 5356.01 0 4112 
410000 21649 -2.9077 -0.116467 47660.3 5189.14 0 4112 
410000 21649 -2.86302 -2.61143 45360.6 5162.99 0 4112 
410000 21649 -1.35894 -2.76105 10140.9 4888.36 0 4112 
410000 21649 -1.84851 1.05535 15280 4695.88 0 4112 
410000 21649 2.84298 -2.29785 39917.6 4634.82 0 4112 
410000 21649 0.337796 -1.4178 4612.02 4360.85 0 4112 
410000 21649 -2.91125 -3.04679 40075.3 4347.93 0 4112 
410000 21649 0.261499 -1.75078 4329.83 4185.89 0 4112 
410000 21649 0.0833261 -2.60845 4108.95 4094.73 0 4112 
410000 21649 0.544913 -2.78019 4605.9 3997.57 0 4112 
410000 21649 -0.660752 0.56192 4025.28 3282.31 0 4112 
410000 21649 0.984707 -0.323302 4674.82 3064.88 0 4112 
410000 21649 0.219429 -1.66431 2850.87 2783.59 0 4112 
410000 21649 0.261432 1.27785 2642.01 2554.23 0 4112 
410000 21649 2.21399 1.18797 11156.6 2409.26 0 4112 
410000 21649 -0.362491 0.0337092 2359.36 2212.41 0 4112 
410000 21649 -2.34562 -2.48173 11254.5 2136.5 0 4112 
410000 21649 -0.0130208 -0.225434 2073.88 2073.7 0 4112 
410000 21649 -1.72161 2.89073 5894.32 2042.27 0 4112 
410000 21649 -2.01753 -2.1864 7750.66 2025.6 0 4112 
410000 21649 1.27162 -2.80176 3776.87 1963.53 0 4112 
410000 21649 -1.95956 -2.10402 7047.76 1947.66 0 4112 
410000 21649 0.20844 -1.50605 1980.81 1938.54 0 4112 
410000 21649 -0.394363 2.03578 2072.47 1921.13 0 4112 
410000 21649 -0.716164 -1.9249 2408.16 1899.79 0 4112 
410000 21649 1.93609 1.70815 6677.64 1887.44 0 4112 
410000 21649 -1.04094 0.34535 2931.88 1841.05 0 4112 
410000 21649 0.951097 -1.5265 2565.04 1724.48 0 4112 
410000 21649 2.26182 2.0568 8296.35 1709.76 0 4112 
